"url","id","checked_at","availability","embedding","playback","relevance","http","title","author","duration_seconds","provider_status","transcript_bytes","transcript_http","playback_start","playback_end","playback_reason","app_playback","app_checked_at","original_lessons","current_lessons","full_content_coverage"
"https://www.youtube.com/watch?v=h4VBpylsjJc","h4VBpylsjJc","2026-09-09T17:47:45.526Z","AVAILABLE","PLAYER_LOADED","UNVERIFIED","UNVERIFIED","200","#2: C Variables and Print Output | [2025] C Programming for Beginners","Programiz","550","OK","0","200","0","0","Media time did not advance in the short observation window.","PLAYED","2026-09-10T04:35:10.816Z","[""fc01-c-basics/2"",""fc01-c-basics/3""]","[""fc01-c-basics/2"",""fc01-c-basics/3""]","UNVERIFIED"
"https://www.youtube.com/watch?v=sARaqR0hRI4","sARaqR0hRI4","2026-09-09T17:47:45.684Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","#3: Data Types in C Programming | [2025] C Programming for Beginners","Programiz","587","OK","0","200","0","4.37037","","UNVERIFIED","2026-09-10T04:35:10.855Z","[""fc01-c-basics/4""]","[""fc01-c-basics/4""]","UNVERIFIED"
"https://www.youtube.com/watch?v=KnvbUiSxvbM","KnvbUiSxvbM","2026-09-09T17:47:45.375Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","#1: Getting Started with C Programming [2025] | C Programming for Beginners","Programiz","353","OK","0","200","0","3.674066","","PLAYED","2026-09-10T04:35:16.279Z","[""fc01-c-basics/1""]","[""fc01-c-basics/1""]","UNVERIFIED"
"https://www.youtube.com/watch?v=iLZOL-hmr7M","iLZOL-hmr7M","2026-09-09T17:48:07.712Z","AVAILABLE","PLAYER_LOADED","UNVERIFIED","UNVERIFIED","200","C format specifiers 🔧","Bro Code","195","OK","0","200","0","0","Media time did not advance in the short observation window.","UNVERIFIED","2026-09-10T04:40:23.515Z","[""fc01-c-basics/6""]","[""fc01-c-basics/6""]","UNVERIFIED"
"https://www.youtube.com/watch?v=aIQk1O08zpg","aIQk1O08zpg","2026-09-09T17:48:06.136Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","C variables 💰","Bro Code","450","OK","0","200","0.02","2.469724","","UNVERIFIED","2026-09-10T04:40:23.554Z","[""fc01-c-basics/5""]","[""fc01-c-basics/5""]","UNVERIFIED"
"https://www.youtube.com/watch?v=17gp5DJEyiw","17gp5DJEyiw","2026-09-09T17:48:12.374Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","#4: Get User Input in C Programming","Programiz","419","OK","0","200","0.321242","4.568173","","PLAYED","2026-09-10T04:40:37.756Z","[""fc01-c-basics/7""]","[""fc01-c-basics/7""]","UNVERIFIED"
"https://www.youtube.com/watch?v=_57FcSBtJNU","_57FcSBtJNU","2026-09-09T17:48:20.790Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","#6: C Operators | [2025] C Programming for Beginners","Programiz","713","OK","0","200","0.050168","2.559071","","PLAYED","2026-09-10T04:40:37.880Z","[""fc01-c-basics/8""]","[""fc01-c-basics/8""]","UNVERIFIED"
"https://www.youtube.com/watch?v=xyQrVEFz9kw","xyQrVEFz9kw","2026-09-09T17:48:26.647Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","C if statements ✔️","Bro Code","246","OK","0","200","0","1.649254","","PLAYED","2026-09-10T04:40:42.513Z","[""fc01-c-basics/9""]","[""fc01-c-basics/9""]","UNVERIFIED"
"https://www.youtube.com/watch?v=iD05HmGLZXc","iD05HmGLZXc","2026-09-09T17:48:27.389Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","If Statement Best Practice | C Programming Tutorial","Portfolio Courses","254","OK","0","200","0.07889","3.989179","","PLAYED","2026-09-10T04:40:43.526Z","[""fc01-c-basics/10""]","[""fc01-c-basics/10""]","UNVERIFIED"
"https://www.youtube.com/watch?v=b4DPj0XAfSg","b4DPj0XAfSg","2026-09-09T17:48:34.333Z","AVAILABLE","PLAYER_LOADED","PLAYED","UNVERIFIED","200","C for loops in 3 minutes! 🔁","Bro Code","202","OK","0","200","0","2.037828","","PLAYED","2026-09-10T04:40:46.958Z","[""fc01-c-basics/11""]","[""fc01-c-basics/11""]","UNVERIFIED"
